INFORMATION_NEED	01-2
precision	0.178
recall	0.229
F1	0.200
prec@10	0.500
average_precision	0.662
recall_precision
0.029	1.000
0.057	1.000
0.086	1.000
0.114	0.800
0.143	0.625
0.171	0.429
0.200	0.233
0.229	0.211
interpolated_recall_precision
0.000	1.000
0.100	0.800
0.200	0.233
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	04-4
precision	0.156
recall	0.184
F1	0.169
prec@10	0.300
average_precision	0.467
recall_precision
0.026	1.000
0.053	1.000
0.079	0.500
0.105	0.190
0.132	0.217
0.158	0.200
0.184	0.159
interpolated_recall_precision
0.000	1.000
0.100	0.217
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	06-1
precision	0.356
recall	0.615
F1	0.451
prec@10	0.400
average_precision	0.450
recall_precision
0.038	1.000
0.077	1.000
0.115	0.600
0.154	0.500
0.192	0.455
0.231	0.353
0.269	0.280
0.308	0.286
0.346	0.290
0.385	0.312
0.423	0.333
0.462	0.353
0.500	0.361
0.538	0.359
0.577	0.366
0.615	0.356
interpolated_recall_precision
0.000	1.000
0.100	0.600
0.200	0.366
0.300	0.366
0.400	0.366
0.500	0.366
0.600	0.356
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	11-4
precision	0.000
recall	0.000
F1	0.000
prec@10	0.000
average_precision	0.000
recall_precision
interpolated_recall_precision
0.000	0.000
0.100	0.000
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	15-4
precision	0.133
recall	0.100
F1	0.114
prec@10	0.300
average_precision	0.393
recall_precision
0.017	0.500
0.033	0.667
0.050	0.375
0.067	0.250
0.083	0.278
0.100	0.286
interpolated_recall_precision
0.000	0.667
0.100	0.286
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

TOTAL
precision	0.164
recall	0.226
F1	0.187
prec@10	0.300
MAP	0.394
interpolated_recall_precision
0.000	0.733
0.100	0.381
0.200	0.120
0.300	0.073
0.400	0.073
0.500	0.073
0.600	0.071
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000
